Nombre del Archivo,Total de Registros Antes,Total de Registros Después
AJSDF.csv,23160,20171
C09001.csv,20364,4396
C09002.csv,22736,9895
C09003.csv,32932,19141
C09004.csv,19449,17298
C09005.csv,21336,2252
C09006.csv,22371,5128
C09007.csv,25497,12551
C09008.csv,6940,811
C09009.csv,22736,10045
C09010.csv,19593,15370
C09011.csv,27119,6188
C09012.csv,26389,13452
C09013.csv,20606,7702
C09014.csv,19084,17768
C09015.csv,25490,11210
C09016.csv,20545,7424
C09017.csv,19145,6109
C09019.csv,22736,9672
C09020.csv,26024,24357
C09021.csv,23467,10472
C09022.csv,22736,19535
C09023.csv,22181,4496
C09024.csv,22736,6938
C09025.csv,22736,11228
C09026.csv,24747,14434
C09028.csv,22736,9707
C09029.csv,26024,24527
C09030.csv,27119,13207
C09031.csv,27119,7339
C09032.csv,34143,23505
C09033.csv,23347,10344
C09034.csv,37346,16199
C09036.csv,20089,18374
C09037.csv,25354,12771
C09038.csv,25398,12699
C09039.csv,25381,12771
C09040.csv,21489,2190
C09041.csv,22736,18788
C09042.csv,22616,8214
C09043.csv,25491,24095
C09044.csv,19814,7328
C09045.csv,19814,15952
C09046.csv,19814,7036
C09047.csv,22736,9690
C09048.csv,53351,51511
C09049.csv,19814,6818
C09050.csv,24770,7359
C09051.csv,22736,18274
C09052.csv,22736,7143
C09054.csv,26024,12450
C09055.csv,22736,3621
C09056.csv,36099,6574
C09058.csv,19814,6085
C09059.csv,26723,7245
C09062.csv,22736,3300
C09064.csv,15950,1335
C09067.csv,17234,2852
C09069.csv,17564,2617
C09070.csv,17258,9050
C09071.csv,15066,12842
C09072.csv,14823,417
CCUDF.csv,23160,16761
CDMDF.csv,23160,20507
CDVDF.csv,36523,17243
CEADF.csv,23160,18394
CFSDF.csv,23160,21623
CHLDF.csv,16374,4171
CMTDF.csv,17988,13286
CMYDF.csv,23160,20211
CTMDF.csv,20017,12731
CTNDF.csv,23160,21123
CYLDF.csv,23160,20651
DATDF.csv,26448,23807
DDFDF.csv,20238,19697
DTLDF.csv,23160,19995
DVLDF.csv,27543,15582
EAZDF.csv,23160,14710
EMRDF.csv,20238,12869
EYQDF.csv,16892,10810
EZCDF.csv,19508,16858
GCNDF.csv,26448,24504
HYTDF.csv,23160,20002
LU4DF.csv,14394,8938
LVNDF.csv,27543,23657
MAGDF.csv,17658,13502
MCRDF.csv,36523,17224
MLPDF.csv,34567,24703
MZTDF.csv,23160,18027
OCSDF.csv,23160,14291
PBADF.csv,36523,17247
PBCDF.csv,23160,20125
PBLDF.csv,23160,20651
PBODF.csv,25171,21987
PBTDF.csv,20017,17667
PCHDF.csv,20017,16048
PCTDF.csv,20017,9699
PGNDF.csv,25921,22961
PLEDF.csv,25171,21990
PLMDF.csv,20238,19696
PMLDF.csv,23160,13552
PNTDF.csv,37770,26865
PRMDF.csv,23160,20650
PRRDF.csv,23160,20650
PSCDF.csv,23160,20219
PSLDF.csv,23040,18762
PSNDF.csv,23160,20210
PSPDF.csv,23160,16724
PTRDF.csv,23160,20210
PVCDF.csv,19508,18771
PXTDF.csv,19508,18772
RBTDF.csv,23160,16757
RCMDF.csv,36523,17248
SANDF.csv,20238,16552
SBADF.csv,23160,20004
SCADF.csv,36523,10242
SCMDF.csv,23160,20504
SGDDF.csv,19569,15502
SJADF.csv,25915,21912
SPPDF.csv,23160,20234
TCMDF.csv,23160,20653
TECDF.csv,20238,17651
TELDF.csv,25778,23076
TNGDF.csv,20017,17667
TPJDF.csv,19873,19219
TPNDF.csv,20238,19694
TRGDF.csv,26448,20991
TSFDF.csv,25778,23075
TSJDF.csv,20017,17666
TSLDF.csv,20238,17640
TTLDF.csv,20238,17381
